TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
FTPFile,LINE,0.17272727272727273,110,19
FTPFile,BRANCH,0.13846153846153847,65,9
FTPFile,EXCEPTION,1.0,0,0
FTPFile,WEAKMUTATION,0.06179775280898876,356,22
FTPFile,OUTPUT,0.0,54,0
FTPFile,METHOD,0.0,30,0
FTPFile,METHODNOEXCEPTION,0.0,30,0
FTPFile,CBRANCH,0.0,65,0
